cavename,n,m,spectral_radius,algebraic_connectivity,normalized_algebraic_connectivity,graph_energy,laplacian_energy,estrada_index,kirchhoff_index,num_spanning_trees
GouffreDejaVu,33,32,2.084868424942498,0.00930445,0.00493986,41.181432608001614,42.31504675302171,73.96638715,5776.000000000034,1
Migovec,7163,7206,2.712534069449064,1.8190202991791597e-06,9.031247234480904e-07,9047.131677723242,9359.579628919984,16531.739881738933,8084940033.131452,6552299513630932481020990079976216966114481562931511164928
Criou,3721,3741,2.5395946178504016,3.085739120525226e-06,1.5358718487220953e-06,4699.140794,4855.234587527113,8573.788560925008,2316172992.1326594,20712341509537694792944713728
Matienzo,6058,6128,2.9444843201389155,3.0002646818828446e-06,1.4896271067035383e-06,7548.951682364601,8165.693375373605,14169.059208212635,4388693756.914913,8982596641536942067564900390445483866598525406623355413508767677632105067870945280
Sakany,1426,1467,2.591273772149011,0.000254093,0.000123859,1808.1540634427456,1911.334478,3371.4171603659333,30783073.30979792,15609830543963530188120395197906281181399535098789888
ReveEveille,78,77,2.0556802947794335,0.001626082,0.000834139,98.21771939074252,99.81701771327191,176.53789701725717,78596,1
Tsanfleuron,206,206,2.321941742768691,0.000491157,0.000247865,261.3666582514643,264.9398608,471.17624094047824,890477.0909087474,11
UltimaPatagonia,605,618,2.634342647849671,0.000536025,0.000263983,765.4285194190601,802.3224343150869,1417.4427868848618,4697936.562277532,10018447283384457216
Folly,4709,4746,2.7163805250848303,3.8591369763990435e-06,1.9240414259766412e-06,5946.634486383368,6174.513167828538,10892.828487799075,2759836679.3381014,159356627518627147116365042170855064834558167875584
PlaninaPoljana,1600,1619,2.6144685130018557,2.6411223281432336e-05,1.3057838455792016e-05,2019.894978235214,2119.4284846684604,3724.5356291901894,129342474.51670608,20729601231560934162432
BreznoNaToscu,361,360,2.234215119645248,9.72535895012847e-05,4.890392771461107e-05,455.12120430486164,467.4388942149002,825.4097936567867,6271708.0000095945,1
PokljuskegaGrebena,1509,1520,2.819334188110787,3.2115389854809134e-05,1.6056360826850004e-05,1898.8494951898515,1996.564624707111,3501.0128419447046,114608531.46381146,4.03464E+13
BurringtonCombe,520,538,2.611300071973858,0.000594273,0.000290124,652.5987127182506,714.60301,1241.2546598089018,3513545.8461413262,2783511979719885824
CheddarCatchment,1541,1565,2.923430981095162,5.2155785532464155e-06,2.5700064696844785e-06,1957.4428184833578,2021.2775475420317,3585.7324982977016,436222281.8898544,311826976568250230483451904
CountyClare,1596,1624,2.4158734164909736,1.399884174990721e-05,6.896744531063896e-06,2030.1319401449778,2087.187690547192,3709.5694345098595,214559005.15896446,219959562291515956495547850389716992
CountyMayo,114,115,2.3743527044411623,0.001053833,0.000531258,142.7345023289128,153.3478043498915,265.3642964882713,180399.35714281508,42
LittleNeathRiver,797,818,2.7209113648881704,0.000106193,5.19943752874823e-05,1008.1809068033474,1065.1862462763363,1879.0033459854142,18550432.6,2925835140783931392000
Lathkill,388,389,2.52261572,0.000172449,8.597491859369455e-05,487.0062052957111,510.97250555469657,895.8443373466578,4829781.933328092,180
Vanoise,471,484,2.5411339751123827,0.000183827,9.040133434480045e-05,600.8397097273514,623.8336594820216,1109.6239608906728,5391565.238391341,2.27272E+13
Glacier,900,939,2.577442809278367,0.000499181,0.00023828,1150.5018488073247,1207.7000306908717,2146.7628327730686,9512007.907906465,266362712632741647257411405023115460483219456
CombeBryon,606,615,2.6459002861505514,8.639293581483449e-05,4.290531037613506e-05,771.5230416029133,789.7432749001563,1409.7056863727537,14820492.707183912,5064187392
Charbonniere,21,20,1.9938346674662557,0.022474605,0.012369929629450218,25.490989686364745,27.31883754547767,46.59170604672133,1521.9999999999873,1
Lajoux,327,326,2.3806082061290574,0.000233543,0.000117684,408.7326035046249,430.34264274349573,751.2927144600314,3004656.0000049234,1
PuitsWilly,33,32,2.1086015307670545,0.010805513251729027,0.005774648,41.073980297934206,42.39726498168213,73.96661184,5372.000000000037,1
CreuxDEntier,282,286,2.552108245084839,0.00134168,0.000677192,356.3179328725058,373.5383427203327,657.9184657846291,875389.5345927968,1981776
NarinesBoeuf,132,133,2.342447490032505,0.001822664,0.000927301,166.0185204285263,175.67760416291162,306.63537924544244,163521.2416667126,240
RougeEau,138,137,2.279575235106833,0.00120515,0.000614791,171.0851205011711,183.30821013012815,316.5974950595714,287384.00000004034,1
DYO,2133,2143,3.8993248822068196,1.417696042450467e-05,7.05026791102896e-06,2232.334516477248,3264.2634830976594,5422.899299524088,314047936.7211164,1163635200
FermanagAndCavan,278,280,2.5663302781560184,0.000367018,0.000183889,347.29895750952323,373.3607958150744,648.9617222261811,1472614.2083324075,1008
WestKingsdale,1198,1210,2.5843953645305944,3.1808370869842043e-05,1.5797711074380084e-05,1513.3090117396378,1569.4218941649506,2775.3676641186803,79124128.37760727,4966216982071215104
EastKingsdale,151,150,2.259588970726984,0.000634758,0.000322201,189.9459266596615,196.06750356006688,344.7012146183939,445736.0000000906,1
ShkembejtJames,99,98,2.0955612345235575,0.001023597,0.000522138,124.90973483555354,126.92235049007581,224.6318709548829,157982.0000000572,1
FountainsFell,391,393,2.5029422717071954,9.426243081021405e-05,4.699975646124235e-05,491.50028031943964,513.7060507548167,903.6126964096611,6957866.9090958405,594
Ingleborough,705,705,2.309931090662386,4.8315745966022705e-05,2.4205284687232304e-05,896.0217828917101,902.4136496699232,1609.8036268833637,31868445.039969124,25
DunaldMill,62,61,2.276352933622462,0.003478687,0.001801909,77.61718872481201,80.67935737144721,140.96648283237806,31711.000000006658,1
Nidderdale,881,898,2.523672686019964,4.395861882517771e-05,2.156605251922938e-05,1118.9605502117915,1161.668386578358,2054.6673015706556,31484504.884372883,34197528999372596969472
ThreeCounties,9567,9704,2.8591083674359936,2.4019314864631567e-06,1.1888492791958377e-06,12058.698268699041,12693.1386,22322.55358853972,9413807477.367914,12080509967350527174252949160617607200478181446176567534624367749294882907185226074571042504448433374500442449370419942713722888317670914629022865676963756831384241350636663209984
DowProv,412,412,2.366527121854532,6.960352885362683e-05,3.4830945006401464e-05,517.7534603419911,537.1692644082915,945.7681862282292,9431971.846068004,26
HaggBeck,385,389,2.6372137357435923,0.000112297,5.576943691897496e-05,484.8154728,508.8327358598257,894.3541523790939,5865402.820183541,46816
Seefeldhoele,748,899,3.4185843582861493,0.000303528,0.00012043,1000.0549185504422,1136.8295854780877,2100.127055711873,5136984.323,19844435566651569148848887556361625583233619209090665981862182139351037611000017359255668271532204472657772544
Banquier,2054,2083,2.8353026621834823,1.146491863080938e-05,5.694017448078535e-06,2598.242344772654,2708.049159392999,4781.0028097010945,358711798.1209976,2419593630023055027206614941696
Cochon,843,848,2.393135920444142,5.490816026914629e-05,2.7366707467003554e-05,1057.386702378038,1116.481143584829,1953.2924109350893,35537020.31365838,702240
Andara,1833,1841,2.6525498284912667,1.2687960552422801e-05,6.331039798920219e-06,2308.7625085367154,2404.304673590811,4231.308192878117,273395898.1585175,1886068800
Koytendag,362,387,2.866847007843906,0.001406374,0.000652805,457.97789891923503,510.5471964930467,895.4992411815671,859828.8894581841,234023572667279561585590272
Tatra,457,457,2.2583665188877595,6.844372562098781e-05,3.4362788677088054e-05,579.9488117645493,587.2471921918599,1044.4360558069586,11349303.941212367,34
ClydachGorge,230,229,2.1214489336795936,0.000197942,9.982585619577273e-05,291.4954457204077,294.2037865056417,523.4806836264119,1904133.9999959606,1
Cavernicole,541,544,2.4607316633802028,0.00012321,6.1774870704741e-05,678.7274454427667,714.7995005228388,1251.7390236083897,9676274.757635143,1361340
FontaineNoire,137,141,2.747187018270896,0.001389565,0.000703642,172.2208358,188.71326085679885,327.2850587314428,207517.98888887002,5400
ClotAspres,2214,2228,2.7073958144276364,1.1555018452238557e-05,5.7603764154559905e-06,2801.184177863438,2883.064811563276,5110.790494092486,493275643.46421146,5.1513E+14
Moucherotte,1364,1384,2.6732697516871164,3.2789631843997466e-05,1.6249727863922007e-05,1729.3847423420025,1792.780534,3176.596608,91418393.25220613,7592704986420333248512
Sornin,1546,1578,2.7572478302682644,2.47532727192186e-05,1.2217199770474362e-05,1952.6922825470888,2064.915313204795,3630.725426451662,123936170.0790792,2297184283270996255428732748717621248
Perthuis,263,263,2.287829433,0.000693053,0.000349268,330.20471879464003,345.01674210310944,604.8436237262443,1322485.1111114745,27
Blau,242,241,2.294356374044936,0.000505849,0.000255802,304.89106841525563,313.88921373647565,553.2793150050533,1208201.0000001993,1
Bailleurs,454,455,2.6102553451573396,0.000321052,0.00016087,560.5684195911655,615.7630593757385,1058.7947897380034,3933525.8242424135,330
Mandra,152,152,2.4120841917154743,0.00071858,0.000361224,190.57720701782372,200.23552636491294,350.18206850276493,381004.60000006383,5
Argent,86,86,2.348096409421275,0.004487885,0.002329812,107.80188597832756,113.63015719117486,198.28585500315342,49372.10526316022,19
Cheminee,979,984,2.3744472648039854,3.212265271057003e-05,1.6047605023888964e-05,1242.8861303639546,1265.3398284211105,2250.124795835443,61650546.65682966,222030960
Carcabon,1052,1051,2.4196994095158617,2.5695444676099505e-05,1.2875321703820278e-05,1323.3589628521286,1376.225913906026,2415.9724695491805,81619008.99970433,1
Serreno,465,470,2.6101137893999535,0.000273479,0.000137009,580.1726921453957,626.9699008332657,1088.0567094234736,4364146.118388102,3265328
Yeux,190,189,2.575248553309347,0.000572461,0.00028949,233.43903969351874,258.13394793796095,441.5797165072154,602123.9999993405,1
TorcaAitken,1010,1014,2.8350761285712425,5.784096354553766e-05,2.89483832427446e-05,1262.548537141858,1343.849454141925,2342.0104808407023,40895555.35285928,26928
CuevaCarrera,1020,1028,2.5608013022840597,6.585141445572686e-05,3.282330973483341e-05,1274.1353778037808,1368.1033560319477,2375.223367634723,34325900.45478392,1228219200
Pasillo,913,916,2.3102035289193434,5.821882635667233e-05,2.9205236948570393e-05,1150.8318186666197,1195.8537087917457,2102.7360803161882,41347061.19,1533172
CuevaPollita,255,258,2.3292512444272955,0.001493427,0.000751243,321.8766353600006,336.6986914151489,591.7118153663768,664481.4673563943,1768413
Lastrias,172,171,2.297639926899711,0.000620049,0.000314564,216.7894651580055,223.19480006886636,393.05880857599453,536001.0000002617,1
CuevaTonia,266,265,2.3094810726203017,0.000264262,0.000133159,334.46830151269205,346.4846050208174,608.8704793038105,1847493.0000018715,1
Cubillo,1001,1003,2.5525989369935793,4.058454202558995e-05,2.0340945007759855e-05,1256.4240235709408,1319.7853365461626,2309.972615,53237855.20266621,672
CuevaHelguera,349,349,2.419191621766549,0.000217483,0.000109517,439.3707477,458.70478542241597,804.1136709009975,3486791.333337554,9
Requiem,156,155,2.404890151951855,0.000515113,0.000260861,195.40484664381393,203.55416711674454,357.27688140032126,495954.99999996583,1
CoumeBere,284,283,2.3049708726187252,0.000196577,9.905411534357489e-05,357.01595026070527,369.46229841482034,650.1062862503005,2648819.9999896926,1
PerteYerse,207,206,2.2829466400537206,0.000364879,0.000184332,259.1159079781901,272.5603508379869,474.78989853475633,1002405.9999999917,1
Queou,548,550,2.409018779660948,6.698912729752943e-05,3.326987377270215e-05,685.9286590206937,725.1946022390291,1267.470244580135,15252708.29088733,660
Crolles,7809,7924,2.638120997182104,5.715337797710663e-06,2.8375327266067164e-06,9904.979416,10246.048273664866,18148.494923555267,5883308750,9052875523501540757703251899311129949753642147720609286955736783456115002574849479461137745761885163419884364258600302343069630859461261262848
Som,585,585,2.3236698190473213,9.346961908678108e-05,4.690672672825753e-05,739.3879665706751,756.8639850283291,1340.7672813577606,15985951.875010826,16
Flaine,128,127,2.3242971103661256,0.00093642,0.00047602,158.08937766425032,171.54716765557967,294.26877096095734,247724.99999993705,1
Larra,6282,6335,2.8250174990155625,2.7823415744259367e-06,1.383356211169758e-06,7931.270975029058,8241.869057652086,14568.27674648036,5892973499.014233,3073952153763078391331296348573099696464376704794624
Kelmend,128,127,2.1213203493565014,0.000925993,0.000471572,161.01214086080427,165.3014760346315,291.37840929333026,278866.99999983725,1
